gene_id	symbol	description	biotype	locus	has_ortholog	human_gene_name
ENSCAFG00000020233	LMO4	LIM domain only 4 [Source:VGNC Symbol;Acc:VGNC:42724]	protein_coding	6:60727270-60941058	1	LMO4
ENSCAFG00000023543	ZNF362	zinc finger protein 362 [Source:VGNC Symbol;Acc:VGNC:48709]	protein_coding	2:68142342-68168440	1	ZNF362
ENSCAFG00000005223	GDI2	GDP dissociation inhibitor 2 [Source:VGNC Symbol;Acc:VGNC:41165]	protein_coding	2:30150769-30169110	1	GDI2
ENSCAFG00000005500	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2 [Source:VGNC Symbol;Acc:VGNC:48119]	protein_coding	22:46309326-46591803	1	UGGT2
ENSCAFG00000004950	DDX18	DEAD-box helicase 18 [Source:VGNC Symbol;Acc:VGNC:39847]	protein_coding	19:32015512-32030602	1	DDX18
ENSCAFG00000006425	UBOX5	U-box domain containing 5 [Source:VGNC Symbol;Acc:VGNC:48083]	protein_coding	24:18157429-18165966	1	UBOX5
ENSCAFG00000014589	KDM6A	lysine demethylase 6A [Source:VGNC Symbol;Acc:VGNC:54168]	protein_coding	X:38745854-38959842	1	KDM6A
ENSCAFG00000016484	ARHGEF11	Rho guanine nucleotide exchange factor 11 [Source:VGNC Symbol;Acc:VGNC:38074]	protein_coding	7:41011830-41097487	1	ARHGEF11
ENSCAFG00000016827	BCKDK	branched chain keto acid dehydrogenase kinase [Source:VGNC Symbol;Acc:VGNC:38407]	protein_coding	6:17128824-17133585	1	BCKDK
ENSCAFG00000017798	MORF4L2	mortality factor 4 like 2 [Source:VGNC Symbol;Acc:VGNC:43320]	protein_coding	X:77085599-77086465	1	MORF4L2
ENSCAFG00000032425	ZNF619	zinc finger protein 619 [Source:HGNC Symbol;Acc:HGNC:26910]	protein_coding	23:9923607-9932308	1	ZNF619
ENSCAFG00000019568	TAZ	tafazzin [Source:VGNC Symbol;Acc:VGNC:47127]	protein_coding	X:122111434-122125506	1	TAZ
ENSCAFG00000006082	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial [Source:VGNC Symbol;Acc:VGNC:49111]	protein_coding	22:58902293-58947558	1	CARS2
ENSCAFG00000006867	THOC7	THO complex 7 [Source:VGNC Symbol;Acc:VGNC:58337]	protein_coding	20:27382568-27390235	1	THOC7
ENSCAFG00000007391	CENPJ	centromere protein J [Source:VGNC Symbol;Acc:VGNC:54932]	protein_coding	25:18557084-18610983	1	CENPJ
ENSCAFG00000010572		U2 small nuclear RNA auxiliary factor 1 [Source:NCBI gene;Acc:478422]	protein_coding	31:37263260-37277166	0	<none>
ENSCAFG00000018925	KDM4B	lysine demethylase 4B [Source:VGNC Symbol;Acc:VGNC:42325]	protein_coding	20:54634121-54820816	1	KDM4B
ENSCAFG00000023463	ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:VGNC Symbol;Acc:VGNC:42157]	protein_coding	20:12747315-13064198	1	ITPR1
ENSCAFG00000005655	ATG16L2	autophagy related 16 like 2 [Source:VGNC Symbol;Acc:VGNC:38220]	protein_coding	21:25405694-25419896	1	ATG16L2
ENSCAFG00000009179	RAD54B	RAD54 homolog B [Source:VGNC Symbol;Acc:VGNC:54119]	protein_coding	29:39098098-39195112	0	<none>
ENSCAFG00000011858	TBCEL	tubulin folding cofactor E like [Source:VGNC Symbol;Acc:VGNC:47158]	protein_coding	5:12964523-13035613	1	TBCEL
ENSCAFG00000013577	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:VGNC Symbol;Acc:VGNC:40276]	protein_coding	30:11207651-11232717	1	EIF3J
ENSCAFG00000019158	EEF2	eukaryotic translation elongation factor 2 [Source:VGNC Symbol;Acc:VGNC:40209]	protein_coding	20:55522213-55586126	1	EEF2
ENSCAFG00000020324	NFATC3	nuclear factor of activated T cells 3 [Source:VGNC Symbol;Acc:VGNC:43769]	protein_coding	5:81296214-81434250	1	NFATC3
ENSCAFG00000029975	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 [Source:VGNC Symbol;Acc:VGNC:42578]	protein_coding	32:21820985-21834351	1	LAMTOR3
ENSCAFG00000018707	RALBP1	ralA binding protein 1 [Source:VGNC Symbol;Acc:VGNC:45332]	protein_coding	7:75461222-75510229	1	RALBP1
ENSCAFG00000010464	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:VGNC Symbol;Acc:VGNC:43491]	protein_coding	4:3215090-3328115	1	MTR
ENSCAFG00000001114	ARHGAP18	Rho GTPase activating protein 18 [Source:VGNC Symbol;Acc:VGNC:38049]	protein_coding	1:68143702-68275022	1	ARHGAP18
ENSCAFG00000003262	APLF	aprataxin and PNKP like factor [Source:VGNC Symbol;Acc:VGNC:53960]	protein_coding	10:67454356-67521761	1	APLF
ENSCAFG00000007160	ZC3H6	zinc finger CCCH-type containing 6 [Source:VGNC Symbol;Acc:VGNC:48560]	protein_coding	17:36621059-36687197	1	ZC3H6
ENSCAFG00000011122	GSK3B	glycogen synthase kinase 3 beta [Source:VGNC Symbol;Acc:VGNC:41530]	protein_coding	33:23463767-23659666	1	GSK3B
ENSCAFG00000019323	SDF4	stromal cell derived factor 4 [Source:VGNC Symbol;Acc:VGNC:45948]	protein_coding	5:56407807-56421430	1	SDF4
ENSCAFG00000029153	PEG3	paternally expressed 3 [Source:VGNC Symbol;Acc:VGNC:44413]	protein_coding	1:101098669-101121032	1	PEG3
ENSCAFG00000031168	ZNF454	zinc finger protein 454 [Source:VGNC Symbol;Acc:VGNC:49773]	protein_coding	11:2606800-2629232	1	ZNF454
ENSCAFG00000043881			lncRNA	6:40012372-40021757	0	<none>
ENSCAFG00000017932	ARID3B	AT-rich interaction domain 3B [Source:VGNC Symbol;Acc:VGNC:38096]	protein_coding	30:37640663-37692049	1	ARID3B
ENSCAFG00000007629	OTUD4	OTU deubiquitinase 4 [Source:VGNC Symbol;Acc:VGNC:44186]	protein_coding	15:43818196-43861784	1	OTUD4
ENSCAFG00000001431	PICK1	protein interacting with PRKCA 1 [Source:VGNC Symbol;Acc:VGNC:44525]	protein_coding	10:26595768-26613756	1	PICK1
ENSCAFG00000003024	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:VGNC Symbol;Acc:VGNC:47024]	protein_coding	12:45618234-45644778	1	SYNCRIP
ENSCAFG00000003842	FIG4	FIG4 phosphoinositide 5-phosphatase [Source:VGNC Symbol;Acc:VGNC:40879]	protein_coding	12:66509431-66632822	1	FIG4
ENSCAFG00000007846	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:VGNC Symbol;Acc:VGNC:41132]	protein_coding	31:5742744-6093612	1	GBE1
ENSCAFG00000011897	ARV1	ARV1 homolog, fatty acid homeostasis modulator [Source:VGNC Symbol;Acc:VGNC:38150]	protein_coding	4:8409484-8424644	1	ARV1
ENSCAFG00000019220		coronin 7 [Source:NCBI gene;Acc:102152446]	protein_coding	6:36980246-37047700	0	<none>
ENSCAFG00000019543	SBNO2	strawberry notch homolog 2 [Source:VGNC Symbol;Acc:VGNC:45885]	protein_coding	20:57267724-57640750	1	SBNO2
ENSCAFG00000028613		SCAN domain-containing protein 1-like [Source:NCBI gene;Acc:100685822]	protein_coding	2:77210942-77214734	0	<none>
ENSCAFG00000030182	ZNF383	zinc finger protein 383 [Source:VGNC Symbol;Acc:VGNC:48712]	protein_coding	1:115209481-115249425	0	<none>
ENSCAFG00000014619	HIRA	histone cell cycle regulator [Source:VGNC Symbol;Acc:VGNC:50634]	protein_coding	26:29778086-29867559	1	HIRA
ENSCAFG00000029513	ZNF829	zinc finger protein 829 [Source:VGNC Symbol;Acc:VGNC:49891]	protein_coding	1:115874228-115895656	1	ZNF829
ENSCAFG00000000838	FAM118A	family with sequence similarity 118 member A [Source:VGNC Symbol;Acc:VGNC:40584]	protein_coding	10:20714237-20739466	1	FAM118A
ENSCAFG00000001609	USP49	ubiquitin specific peptidase 49 [Source:VGNC Symbol;Acc:VGNC:48200]	protein_coding	12:10479733-10577918	1	USP49
ENSCAFG00000007074	IMPAD1	inositol monophosphatase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:42009]	protein_coding	29:8182508-8215868	1	IMPAD1
ENSCAFG00000007431	FER	FER tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:40818]	protein_coding	3:2867726-3295999	1	FER
ENSCAFG00000009227	WDR41	WD repeat domain 41 [Source:VGNC Symbol;Acc:VGNC:48366]	protein_coding	3:29073073-29286681	1	WDR41
ENSCAFG00000011693	KLHDC8B	kelch domain containing 8B [Source:VGNC Symbol;Acc:VGNC:42444]	protein_coding	20:40023411-40026552	1	KLHDC8B
ENSCAFG00000017079	CSNK1G1	casein kinase 1 gamma 1 [Source:VGNC Symbol;Acc:VGNC:54937]	protein_coding	30:28654200-28788801	1	CSNK1G1
ENSCAFG00000018282	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:VGNC Symbol;Acc:VGNC:45688]	protein_coding	7:66862608-67142853	1	ROCK1
ENSCAFG00000024447	OASL	oligoadenylate synthetase-like 2 [Source:NCBI gene;Acc:477518]	protein_coding	26:16855386-16869102	0	<none>
ENSCAFG00000031999	SLC30A1	solute carrier family 30 member 1 [Source:VGNC Symbol;Acc:VGNC:46346]	protein_coding	7:9955877-9959388	1	SLC30A1
ENSCAFG00000032595	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:VGNC Symbol;Acc:VGNC:54547]	protein_coding	10:68826250-68836755	1	SNRPG
ENSCAFG00000049251			lncRNA	10:62120395-62122883	0	<none>
ENSCAFG00000049944	ZNF784	zinc finger protein 784 [Source:NCBI gene;Acc:100688293]	protein_coding	1:102116063-102119366	1	ZNF784
ENSCAFG00000005054	ZRANB3	zinc finger RANBP2-type containing 3 [Source:VGNC Symbol;Acc:VGNC:48849]	protein_coding	19:37957421-38301888	1	ZRANB3
ENSCAFG00000014458	MEPCE	methylphosphate capping enzyme [Source:VGNC Symbol;Acc:VGNC:43161]	protein_coding	6:9234356-9239859	1	MEPCE
ENSCAFG00000003759	ZFYVE9	zinc finger FYVE-type containing 9 [Source:VGNC Symbol;Acc:VGNC:48628]	protein_coding	15:9015863-9289929	1	ZFYVE9
ENSCAFG00000005034	KIN	Kin17 DNA and RNA binding protein [Source:VGNC Symbol;Acc:VGNC:42417]	protein_coding	2:28324723-28360773	1	KIN
ENSCAFG00000008515	PPP1CC	protein phosphatase 1 catalytic subunit gamma [Source:VGNC Symbol;Acc:VGNC:52957]	protein_coding	26:8495067-8518675	1	PPP1CC
ENSCAFG00000009851	TRIM45	tripartite motif containing 45 [Source:VGNC Symbol;Acc:VGNC:47824]	protein_coding	17:54498883-54506839	1	TRIM45
ENSCAFG00000010003	MOB2	MOB kinase activator 2 [Source:VGNC Symbol;Acc:VGNC:43301]	protein_coding	18:45682790-45776349	1	MOB2
ENSCAFG00000012205	INPP5F	inositol polyphosphate-5-phosphatase F [Source:VGNC Symbol;Acc:VGNC:42034]	protein_coding	28:29858658-29944490	1	INPP5F
ENSCAFG00000012660	DCAF17	DDB1 and CUL4 associated factor 17 [Source:VGNC Symbol;Acc:VGNC:39793]	protein_coding	36:15905085-15938910	1	DCAF17
ENSCAFG00000014624	IFI35	interferon induced protein 35 [Source:VGNC Symbol;Acc:VGNC:41872]	protein_coding	9:20050438-20061319	1	IFI35
ENSCAFG00000017278	TAF9B	TATA-box binding protein associated factor 9b [Source:VGNC Symbol;Acc:VGNC:47091]	protein_coding	X:60401419-60410027	1	TAF9B
ENSCAFG00000007248	GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta [Source:VGNC Symbol;Acc:VGNC:41334]	protein_coding	15:40631279-40704365	1	GNPTAB
ENSCAFG00000001771	WASL	WASP like actin nucleation promoting factor [Source:VGNC Symbol;Acc:VGNC:58887]	protein_coding	14:11828687-11899788	1	WASL
ENSCAFG00000001910	POLH	DNA polymerase eta [Source:VGNC Symbol;Acc:VGNC:44783]	protein_coding	12:12034583-12069707	1	POLH
ENSCAFG00000002669	FBXO11	F-box protein 11 [Source:VGNC Symbol;Acc:VGNC:40762]	protein_coding	10:49838776-49925064	1	FBXO11
ENSCAFG00000006994	ZNF664	zinc finger protein 664 [Source:VGNC Symbol;Acc:VGNC:48790]	protein_coding	26:5701511-5702296	1	ZNF664
ENSCAFG00000016594	DCTPP1	dCTP pyrophosphatase 1 [Source:NCBI gene;Acc:489903]	protein_coding	6:17679722-17683570	1	DCTPP1
ENSCAFG00000029104	SMIM30	small integral membrane protein 30 [Source:VGNC Symbol;Acc:VGNC:54796]	protein_coding	14:52595562-52595741	1	SMIM30
ENSCAFG00000042167	C11orf1	chromosome 5 C11orf1 homolog [Source:NCBI gene;Acc:479442]	protein_coding	5:21201326-21205111	1	C11orf1
ENSCAFG00000018856	GSPT1	G1 to S phase transition 1 [Source:VGNC Symbol;Acc:VGNC:41533]	protein_coding	6:30933398-30967476	1	GSPT1
ENSCAFG00000011105	SNAP23	synaptosome associated protein 23 [Source:VGNC Symbol;Acc:VGNC:46587]	protein_coding	30:9456084-9492329	1	SNAP23
ENSCAFG00000003649	ALDH16A1	aldehyde dehydrogenase 16 family member A1 [Source:VGNC Symbol;Acc:VGNC:37780]	protein_coding	1:107032192-107047197	1	ALDH16A1
ENSCAFG00000003798	CEP57L1	centrosomal protein 57 like 1 [Source:VGNC Symbol;Acc:VGNC:39132]	protein_coding	12:66058418-66127027	1	CEP57L1
ENSCAFG00000005905	HARS2	histidyl-tRNA synthetase 2, mitochondrial [Source:VGNC Symbol;Acc:VGNC:41598]	protein_coding	2:35843706-35850760	1	HARS2
ENSCAFG00000008860	PAQR3	progestin and adipoQ receptor family member 3 [Source:VGNC Symbol;Acc:VGNC:44259]	protein_coding	32:3288645-3316965	1	PAQR3
ENSCAFG00000017584	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:VGNC Symbol;Acc:VGNC:46530]	protein_coding	20:50175687-50268836	1	SMARCA4
ENSCAFG00000018780	RAB34	RAB34, member RAS oncogene family [Source:VGNC Symbol;Acc:VGNC:45277]	protein_coding	9:42910011-42913985	1	RAB34
ENSCAFG00000029941	UBE2G1	ubiquitin conjugating enzyme E2 G1 [Source:VGNC Symbol;Acc:VGNC:48052]	protein_coding	5:30334968-30427529	1	UBE2G1
ENSCAFG00000018578	ZNF131	zinc finger protein 131 [Source:VGNC Symbol;Acc:VGNC:48657]	protein_coding	4:66739148-66769075	1	ZNF131
ENSCAFG00000005955	SLC25A15	solute carrier family 25 member 15 [Source:VGNC Symbol;Acc:VGNC:54359]	protein_coding	25:471777-493054	1	SLC25A15
ENSCAFG00000006300	NOC4L	nucleolar complex associated 4 homolog [Source:VGNC Symbol;Acc:VGNC:43875]	protein_coding	26:827973-832302	1	NOC4L
ENSCAFG00000009409	ECI2	enoyl-CoA delta isomerase 2 [Source:VGNC Symbol;Acc:VGNC:40186]	protein_coding	35:4342214-4366331	1	ECI2
ENSCAFG00000010639	RESF1	retroelement silencing factor 1 [Source:VGNC Symbol;Acc:VGNC:42371]	protein_coding	27:16829968-16839166	1	RESF1
ENSCAFG00000012187	NLRX1	NLR family member X1 [Source:VGNC Symbol;Acc:VGNC:43853]	protein_coding	5:14564935-14705257	1	NLRX1
ENSCAFG00000013366		ATP synthase membrane subunit c locus 3 [Source:NCBI gene;Acc:478807]	protein_coding	36:19131062-19134117	0	<none>
ENSCAFG00000013972	ZFAND6	zinc finger AN1-type containing 6 [Source:NCBI gene;Acc:479064]	protein_coding	3:57342448-57406182	1	ZFAND6
ENSCAFG00000014370		mitochondrial ribosomal protein S14 [Source:NCBI gene;Acc:480061]	protein_coding	7:24342455-24368433	0	<none>
ENSCAFG00000017366	KANK2	KN motif and ankyrin repeat domains 2 [Source:VGNC Symbol;Acc:VGNC:42201]	protein_coding	20:50067760-50091320	1	KANK2
ENSCAFG00000028684	JAGN1	jagunal homolog 1 [Source:VGNC Symbol;Acc:VGNC:42174]	protein_coding	20:8373316-8376085	1	JAGN1
ENSCAFG00000048732	LIN7C	lin-7 homolog C, crumbs cell polarity complex component [Source:NCBI gene;Acc:485424]	protein_coding	21:48064929-48071429	1	LIN7C
ENSCAFG00000004421	CDADC1	cytidine and dCMP deaminase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:38984]	protein_coding	22:2436206-2489016	1	CDADC1
ENSCAFG00000018078	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:NCBI gene;Acc:479827]	protein_coding	6:25740765-25758489	1	GDE1
ENSCAFG00000005999	NHLRC3	NHL repeat containing 3 [Source:VGNC Symbol;Acc:VGNC:43802]	protein_coding	25:1977667-2035949	1	NHLRC3
ENSCAFG00000010738	SEC22B	SEC22 homolog B, vesicle trafficking protein [Source:NCBI gene;Acc:475816]	protein_coding	17:57053218-57115886	1	SEC22B
ENSCAFG00000008514	CSNK2A2	casein kinase 2 alpha 2 [Source:VGNC Symbol;Acc:VGNC:39670]	protein_coding	2:58360838-58432371	1	CSNK2A2
ENSCAFG00000000064	CD63	CD63 molecule [Source:VGNC Symbol;Acc:VGNC:38967]	protein_coding	10:126449-129742	1	CD63
ENSCAFG00000006429	PUS1	pseudouridine synthase 1 [Source:VGNC Symbol;Acc:VGNC:45210]	protein_coding	26:955462-966155	1	PUS1
ENSCAFG00000008415	KBTBD4	kelch repeat and BTB domain containing 4 [Source:VGNC Symbol;Acc:VGNC:42225]	protein_coding	18:42075891-42081095	1	KBTBD4
ENSCAFG00000019869		ral guanine nucleotide dissociation stimulator [Source:NCBI gene;Acc:480686]	protein_coding	9:51287090-51329709	1	RALGDS
ENSCAFG00000031910	ZNF239	zinc finger protein 239 [Source:VGNC Symbol;Acc:VGNC:48679]	protein_coding	28:3540074-3541294	1	ZNF239
ENSCAFG00000019072	HSPB11	heat shock protein family B (small) member 11 [Source:VGNC Symbol;Acc:VGNC:53414]	protein_coding	5:55042911-55070106	1	HSPB11
ENSCAFG00000004932	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11 [Source:VGNC Symbol;Acc:VGNC:41086]	protein_coding	16:15901406-15951359	1	GALNT11
ENSCAFG00000005485	BFSP1	beaded filament structural protein 1 [Source:VGNC Symbol;Acc:VGNC:38440]	protein_coding	24:5439512-5499307	1	BFSP1
ENSCAFG00000007258	UBA2	ubiquitin like modifier activating enzyme 2 [Source:VGNC Symbol;Acc:VGNC:48037]	protein_coding	1:117843510-117883633	1	UBA2
ENSCAFG00000009210	R3HCC1	R3H domain and coiled-coil containing 1 [Source:VGNC Symbol;Acc:VGNC:45242]	protein_coding	25:34160856-34206970	1	R3HCC1
ENSCAFG00000018612	CARD6	caspase recruitment domain family member 6 [Source:VGNC Symbol;Acc:VGNC:38717]	protein_coding	4:68538238-68549156	1	CARD6
ENSCAFG00000025565	TINF2	TERF1 interacting nuclear factor 2 [Source:VGNC Symbol;Acc:VGNC:47381]	protein_coding	8:4221269-4223512	1	TINF2
ENSCAFG00000049156		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 [Source:NCBI gene;Acc:479742]	protein_coding	6:10129188-10141414	0	<none>
ENSCAFG00000006754	CEP63	centrosomal protein 63 [Source:VGNC Symbol;Acc:VGNC:39133]	protein_coding	23:31249673-31303142	1	CEP63
ENSCAFG00000012015	MCM3AP	minichromosome maintenance complex component 3 associated protein [Source:VGNC Symbol;Acc:VGNC:43083]	protein_coding	31:39507729-39561674	1	MCM3AP
ENSCAFG00000012521	TLK1	tousled like kinase 1 [Source:VGNC Symbol;Acc:VGNC:47398]	protein_coding	36:15526564-15675678	1	TLK1
ENSCAFG00000002916		Friend virus susceptibility protein 1-like [Source:NCBI gene;Acc:484356]	protein_coding	1:106044100-106050417	0	<none>
ENSCAFG00000009512	PIDD1	p53-induced death domain protein 1 [Source:VGNC Symbol;Acc:VGNC:44527]	protein_coding	18:45168245-45173107	1	PIDD1
ENSCAFG00000011714	VPS45	vacuolar protein sorting 45 homolog [Source:VGNC Symbol;Acc:VGNC:48292]	protein_coding	17:59327806-59397811	1	VPS45
ENSCAFG00000014421	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:VGNC Symbol;Acc:VGNC:46533]	protein_coding	37:23367220-23419248	1	SMARCAL1
ENSCAFG00000015002	PRRX1	paired related homeobox 1 [Source:VGNC Symbol;Acc:VGNC:45061]	protein_coding	7:28068711-28138787	1	PRRX1
ENSCAFG00000019387	SKI	SKI proto-oncogene [Source:VGNC Symbol;Acc:VGNC:46198]	protein_coding	5:57145825-57214403	1	SKI
ENSCAFG00000031056	MANEA	mannosidase endo-alpha [Source:VGNC Symbol;Acc:VGNC:42950]	protein_coding	12:54170184-54225013	1	MANEA
ENSCAFG00000000066	VPS4B	vacuolar protein sorting 4 homolog B [Source:VGNC Symbol;Acc:VGNC:48293]	protein_coding	1:13639004-13669072	1	VPS4B
ENSCAFG00000000094	LMAN1	lectin, mannose binding 1 [Source:VGNC Symbol;Acc:VGNC:42706]	protein_coding	1:16869121-16894786	1	LMAN1
ENSCAFG00000000231	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:VGNC Symbol;Acc:VGNC:82285]	protein_coding	11:3498153-3505034	1	B4GALT7
ENSCAFG00000000718	BRD1	bromodomain containing 1 [Source:VGNC Symbol;Acc:VGNC:38518]	protein_coding	10:17361117-17395928	1	BRD1
ENSCAFG00000002126	CENPQ	centromere protein Q [Source:VGNC Symbol;Acc:VGNC:39112]	protein_coding	12:17340001-17355937	1	CENPQ
ENSCAFG00000003149	PGBD2	piggyBac transposable element derived 2 [Source:NCBI gene;Acc:100856522]	protein_coding	16:13811208-13822017	1	PGBD2
ENSCAFG00000003772	SNX3	sorting nexin 3 [Source:VGNC Symbol;Acc:VGNC:46636]	protein_coding	12:65252175-65294611	0	<none>
ENSCAFG00000003874	NUCB1	nucleobindin 1 [Source:VGNC Symbol;Acc:VGNC:53746]	protein_coding	1:107454636-107476375	1	NUCB1
ENSCAFG00000006920	KCNIP3	potassium voltage-gated channel interacting protein 3 [Source:VGNC Symbol;Acc:VGNC:42256]	protein_coding	17:34626578-34808469	1	FAHD2A
ENSCAFG00000011460	SLC9A8	solute carrier family 9 member A8 [Source:VGNC Symbol;Acc:VGNC:46490]	protein_coding	24:36364238-36430000	1	SLC9A8
ENSCAFG00000015113	QDPR	quinoid dihydropteridine reductase [Source:VGNC Symbol;Acc:VGNC:45231]	protein_coding	3:62970121-63028395	1	QDPR
ENSCAFG00000019219	NADK	NAD kinase [Source:VGNC Symbol;Acc:VGNC:43605]	protein_coding	5:56745869-56774529	1	NADK
ENSCAFG00000019461		growth factor, augmenter of liver regeneration [Source:NCBI gene;Acc:479885]	protein_coding	6:38949484-38951703	1	GFER
ENSCAFG00000019971	MLYCD	malonyl-CoA decarboxylase [Source:VGNC Symbol;Acc:VGNC:57369]	protein_coding	5:68384618-68399965	1	MLYCD
ENSCAFG00000020147	MTF2	metal response element binding transcription factor 2 [Source:VGNC Symbol;Acc:VGNC:43467]	protein_coding	6:55951279-56010886	1	MTF2
ENSCAFG00000023897	ZSCAN30	zinc finger and SCAN domain containing 30 [Source:VGNC Symbol;Acc:VGNC:55770]	protein_coding	7:54742067-54746668	1	ZSCAN30
ENSCAFG00000031320	UBE2E2	ubiquitin conjugating enzyme E2 E2 [Source:NCBI gene;Acc:610187]	protein_coding	23:20130230-20486399	1	UBE2E2
ENSCAFG00000041061			lncRNA	24:26931094-26935107	0	<none>
ENSCAFG00000016615	MRI1	methylthioribose-1-phosphate isomerase 1 [Source:VGNC Symbol;Acc:VGNC:43365]	protein_coding	20:48653152-48658160	1	MRI1
ENSCAFG00000013480	ZNRD2	zinc ribbon domain containing 2 [Source:VGNC Symbol;Acc:VGNC:59160]	protein_coding	18:51634892-51637087	1	ZNRD2
ENSCAFG00000007878	SLC43A3	solute carrier family 43 member 3 [Source:VGNC Symbol;Acc:VGNC:49711]	protein_coding	18:38723534-38744636	1	SLC43A3
ENSCAFG00000042241			lncRNA	2:69205279-69223187	0	<none>
ENSCAFG00000000011	NFATC1	nuclear factor of activated T cells 1 [Source:VGNC Symbol;Acc:VGNC:43766]	protein_coding	1:1028695-1121588	1	NFATC1
ENSCAFG00000019603	LMF1	lipase maturation factor 1 [Source:VGNC Symbol;Acc:VGNC:54038]	protein_coding	6:39696442-39762709	1	LMF1
ENSCAFG00000000630	VWA7	von Willebrand factor A domain containing 7 [Source:VGNC Symbol;Acc:VGNC:48324]	protein_coding	12:1245105-1254272	1	VWA7
ENSCAFG00000002973	EMC10	ER membrane protein complex subunit 10 [Source:VGNC Symbol;Acc:VGNC:40332]	protein_coding	1:106236307-106261113	1	EMC10
ENSCAFG00000013934	FAU	FAU ubiquitin like and ribosomal protein S30 fusion [Source:VGNC Symbol;Acc:VGNC:51871]	protein_coding	18:52072796-52074336	1	FAU
ENSCAFG00000017637	C7H18orf25	chromosome 7 C18orf25 homolog [Source:VGNC Symbol;Acc:VGNC:52583]	protein_coding	7:44969267-45036204	1	C18orf25
ENSCAFG00000018760	PDXDC1	pyridoxal dependent decarboxylase domain containing 1 [Source:NCBI gene;Acc:489996]	protein_coding	6:28412316-28508743	1	PDXDC1
ENSCAFG00000019820	CDK10	cyclin dependent kinase 10 [Source:VGNC Symbol;Acc:VGNC:39043]	protein_coding	5:63879024-63897373	1	CDK10
ENSCAFG00000025084	PAXBP1	PAX3 and PAX7 binding protein 1 [Source:VGNC Symbol;Acc:VGNC:44281]	protein_coding	31:27406492-27439844	0	<none>
ENSCAFG00000020085	ZFP1	ZFP1 zinc finger protein [Source:VGNC Symbol;Acc:VGNC:48609]	protein_coding	5:75543677-75568845	1	ZFP1
ENSCAFG00000001428	PPIL1	peptidylprolyl isomerase like 1 [Source:VGNC Symbol;Acc:VGNC:44855]	protein_coding	12:5917228-5942943	1	PPIL1
ENSCAFG00000016612	ZNF668	zinc finger protein 668 [Source:VGNC Symbol;Acc:VGNC:48792]	protein_coding	6:17158384-17166174	1	ZNF668
ENSCAFG00000010680	DENND5B	DENN domain containing 5B [Source:VGNC Symbol;Acc:VGNC:39894]	protein_coding	27:17044309-17361570	1	DENND5B
ENSCAFG00000013431	WDR76	WD repeat domain 76 [Source:VGNC Symbol;Acc:VGNC:48388]	protein_coding	30:10561515-10609907	1	WDR76
ENSCAFG00000017094	ZNF609	zinc finger protein 609 [Source:VGNC Symbol;Acc:VGNC:48775]	protein_coding	30:28943975-29116771	1	ZNF609
ENSCAFG00000023478			protein_coding	2:4663376-4690933	0	<none>
ENSCAFG00000028922	COX16	cytochrome c oxidase assembly factor COX16 [Source:VGNC Symbol;Acc:VGNC:50443]	protein_coding	8:44006423-44032173	1	COX16
ENSCAFG00000030360		zinc finger protein with KRAB and SCAN domains 7 [Source:NCBI gene;Acc:485566]	protein_coding	23:1864664-1868679	0	<none>
ENSCAFG00000041923			pseudogene	17:63006961-63007202	0	<none>
ENSCAFG00000023414	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3 [Source:VGNC Symbol;Acc:VGNC:39408]	protein_coding	10:45147339-45154744	1	CNNM3
ENSCAFG00000000882	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:VGNC Symbol;Acc:VGNC:51769]	protein_coding	13:18825844-18841873	1	DSCC1
ENSCAFG00000006020	CDS2	CDP-diacylglycerol synthase 2 [Source:VGNC Symbol;Acc:VGNC:39081]	protein_coding	24:16414682-16469759	1	CDS2
ENSCAFG00000009247	WDFY3	WD repeat and FYVE domain containing 3 [Source:VGNC Symbol;Acc:VGNC:48346]	protein_coding	32:8433080-8695859	1	WDFY3
ENSCAFG00000012101	RAB22A	RAB22A, member RAS oncogene family [Source:VGNC Symbol;Acc:VGNC:45262]	protein_coding	24:43108918-43157932	1	RAB22A
