gene_id	symbol	description	locus	human_gene_id	human_gene_name
SRP9	SRP9	signal recognition particle 9 kDa protein	7:38963819-38974690	6726	SRP9
APPBP2	APPBP2	amyloid protein-binding protein 2	9:35947520-36017576	10513	APPBP2
DXO	DXO	decapping and exoribonuclease protein	12:1559127-1561358	1797	DXO
FKBP5	FKBP5	peptidyl-prolyl cis-trans isomerase FKBP5	12:4902109-5010966	2289	FKBP5
LOC119872054	LOC119872054	small nucleolar RNA SNORD49	5:39707326-39707396	<none>	<none>
LOC100682893	LOC100682893	uncharacterized gene	27:1974894-1975674	<none>	<none>
RAD51B	RAD51B	DNA repair protein RAD51 homolog 2	8:42056861-42740806	5890	RAD51B
EIF1AX	EIF1AX	"eukaryotic translation initiation factor 1A, X-chromosomal"	X:16110785-16132087	1964	EIF1AX
BOP1	BOP1	ribosome biogenesis protein BOP1	13:38452110-38477850	23246	BOP1
C13H8orf76	C13H8orf76	uncharacterized protein C8orf76 homolog	13:22013349-22033352	84933	C8orf76
CIC	CIC	protein capicua homolog	1:112811100-112837664	23152	CIC
NKAP	NKAP	NF-kappa-B-activating protein	X:92600530-92635783	79576	NKAP
TENT4B	TENT4B	terminal nucleotidyltransferase 4B	2:64345293-64425159	64282	TENT4B
TMEM267	TMEM267	transmembrane protein 267	4:67447101-67467437	64417	TMEM267
C18H11orf98	C18H11orf98	uncharacterized protein C11orf98 homolog	18:54511548-54514709	102288414	C11orf98
CACUL1	CACUL1	CDK2-associated and cullin domain-containing protein 1	28:29311895-29393678	143384	CACUL1
MED28	MED28	mediator of RNA polymerase II transcription subunit 28	3:63416522-63425004	80306	MED28
TMCC1	TMCC1	transmembrane and coiled-coil domains protein 1	20:5361131-5600200	23023	TMCC1
ZBTB43	ZBTB43	zinc finger and BTB domain-containing protein 43	9:56524240-56551217	23099	ZBTB43
LOC102153307	LOC102153307	uncharacterized LOC102153307	2:78866335-78867504	<none>	<none>
PIK3R4	PIK3R4	phosphoinositide 3-kinase regulatory subunit 4	23:28414452-28485590	30849	PIK3R4
ALKBH7	ALKBH7	"alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial"	20:54182768-54184373	84266	ALKBH7
LOC478089	LOC478089	general transcription factor IIH subunit 2	2:53787592-53813579	<none>	<none>
MGAT2	MGAT2	"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"	8:26469320-26472110	4247	MGAT2
RPUSD3	RPUSD3	mitochondrial mRNA pseudouridine synthase RPUSD3	20:8476434-8483929	285367	RPUSD3
GRPEL2	GRPEL2	"grpE protein homolog 2, mitochondrial"	4:60517526-60528629	134266	GRPEL2
DVL3	DVL3	segment polarity protein dishevelled homolog DVL-3	34:17225218-17241675	1857	DVL3
EIF2S3	EIF2S3	eukaryotic translation initiation factor 2 subunit 3	X:19746165-19764509	1968	EIF2S3
FAM149B1	FAM149B1	primary cilium assembly protein FAM149B1	4:24482054-24554453	317662	FAM149B1
ZNF513	ZNF513	zinc finger protein 513	17:21397970-21401648	130557	ZNF513
ABCG4	ABCG4	ATP-binding cassette sub-family G member 4	5:14733867-14747471	64137	ABCG4
CCNL2	CCNL2	cyclin-L2	5:57017713-57026057	81669	CCNL2
HMG20A	HMG20A	high mobility group protein 20A	30:39277949-39355364	10363	HMG20A
RTRAF	RTRAF	"RNA transcription, translation and transport factor protein"	8:28479155-28494152	51637	RTRAF
SLC25A36	SLC25A36	solute carrier family 25 member 36	23:37445117-37482302	55186	SLC25A36
ZNF142	ZNF142	zinc finger protein 142	37:25120449-25138366	7701	ZNF142
ITM2B	ITM2B	integral membrane protein 2B	22:3222094-3250064	9445	ITM2B
LOC119866124	LOC119866124	uncharacterized LOC119866124	26:310669-313352	<none>	<none>
TECPR1	TECPR1	tectonin beta-propeller repeat-containing protein 1	6:11169072-11195233	25851	TECPR1
TOMM40	TOMM40	mitochondrial import receptor subunit TOM40 homolog	1:111238917-111249729	10452	TOMM40
SZT2	SZT2	KICSTOR complex protein SZT2	15:16830906-16882264	23334	SZT2
FH	FH	"fumarate hydratase, mitochondrial"	7:32834235-32861236	2271	FH
HERPUD1	HERPUD1	homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein	2:58660262-58671800	9709	HERPUD1
MRPS35	MRPS35	mitochondrial ribosomal protein S35	27:26531536-26573313	60488	MRPS35
RPP21	RPP21	ribonuclease P protein subunit p21	12:459677-476606	<none>	<none>
COMMD3	COMMD3	COMM domain containing 3	2:8645450-8649327	23412	COMMD3
NDUFB10	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	6:39413727-39416205	4716	NDUFB10
ZC3H12A	ZC3H12A	endoribonuclease ZC3H12A	15:5047843-5059188	80149	ZC3H12A
CDK9	CDK9	cyclin-dependent kinase 9	9:55703144-55707256	1025	CDK9
MMGT1	MMGT1	membrane magnesium transporter 1	X:107334890-107345725	93380	MMGT1
OSER1	OSER1	oxidative stress-responsive serine-rich protein 1	24:32360330-32373483	51526	OSER1
ZNF410	ZNF410	zinc finger protein 410	8:47427430-47468360	57862	ZNF410
NFKB1	NFKB1	nuclear factor kappa B subunit 1	32:15842831-15961478	4790	NFKB1
PHF5A	PHF5A	PHD finger-like domain-containing protein 5A	10:24755822-24765792	84844	PHF5A
PUM3	PUM3	pumilio homolog 3	1:92070321-92109573	9933	PUM3
RABGAP1L	RABGAP1L	rab GTPase-activating protein 1-like	7:24286839-25031194	9910	RABGAP1L
DNAJC7	DNAJC7	dnaJ homolog subfamily C member 7	9:20731355-20761124	7266	DNAJC7
LOC102151796	LOC102151796	putative MORF4 family-associated protein 1-like protein UPP	3:59311287-59313190	<none>	<none>
MMADHC	MMADHC	cobalamin trafficking protein CblD	19:52805790-52830278	27249	MMADHC
RPP40	RPP40	ribonuclease P protein subunit p40	35:6403016-6413078	10799	RPP40
SLC22A5	SLC22A5	solute carrier family 22 member 5	11:20653571-20680804	6584	SLC22A5
SLU7	SLU7	pre-mRNA-splicing factor SLU7	4:51202029-51216993	10569	SLU7
TFB2M	TFB2M	"dimethyladenosine transferase 2, mitochondrial"	7:37209120-37227834	64216	TFB2M
ZNF184	ZNF184	zinc finger protein 184	35:26254285-26278943	7738	ZNF184
TMEM168	TMEM168	transmembrane protein 168	14:52438340-52468897	64418	TMEM168
CCDC115	CCDC115	coiled-coil domain-containing protein 115	25:19095996-19100692	84317	CCDC115
DHX16	DHX16	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	12:599625-616622	8449	DHX16
RSF1	RSF1	remodeling and spacing factor 1	21:21083179-21239136	51773	RSF1
AKIRIN1	AKIRIN1	akirin-1	15:3831983-3844112	79647	AKIRIN1
EFHC2	EFHC2	EF-hand domain-containing family member C2	X:38341240-38536547	80258	EFHC2
MED6	MED6	mediator of RNA polymerase II transcription subunit 6	8:44585829-44606192	10001	MED6
TTI2	TTI2	TELO2-interacting protein 2	16:31902111-31911013	80185	TTI2
CAPN7	CAPN7	calpain-7	23:27848446-27890014	23473	CAPN7
NRAS	NRAS	"NRAS proto-oncogene, GTPase"	17:52938741-52945813	4893	NRAS
PLA2G15	PLA2G15	phospholipase A2 group XV	5:81855603-81866386	23659	PLA2G15
POLR2L	POLR2L	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	18:45633813-45635061	5441	POLR2L
STARD5	STARD5	stAR-related lipid transfer protein 5	3:56940321-56950330	80765	STARD5
ZRANB1	ZRANB1	ubiquitin thioesterase ZRANB1	28:34560074-34617303	54764	ZRANB1
ARHGAP17	ARHGAP17	rho GTPase-activating protein 17	6:21323131-21417935	55114	ARHGAP17
CLCN3	CLCN3	chloride voltage-gated channel 3	25:20659558-20710662	1182	CLCN3
GEMIN2	GEMIN2	gem-associated protein 2	8:17473998-17496784	8487	GEMIN2
LSM11	LSM11	U7 snRNA-associated Sm-like protein LSm11	4:53418930-53432599	134353	LSM11
MFAP1	MFAP1	microfibrillar-associated protein 1	30:10833314-10846830	4236	MFAP1
UCHL5	UCHL5	ubiquitin carboxyl-terminal hydrolase isozyme L5	38:6615571-6657212	51377	UCHL5
DERA	DERA	deoxyribose-phosphate aldolase	27:15378197-15495659	51071	DERA
DNAJB12	DNAJB12	dnaJ homolog subfamily B member 12	4:23699654-23717628	54788	DNAJB12
GSDMD	GSDMD	gasdermin-D	13:37965884-37971607	79792	GSDMD
LOC480188	LOC480188	heterogeneous nuclear ribonucleoprotein C-like	7:68529778-68531489	<none>	<none>
LOC610321	LOC610321	UBAP1-MVB12-associated (UMA)-domain containing protein 1	14:23191855-23421537	<none>	<none>
MMACHC	MMACHC	cyanocobalamin reductase / alkylcobalamin dealkylase	15:14949428-14955416	25974	MMACHC
TSSC4	TSSC4	protein TSSC4	18:46930903-46933435	10078	TSSC4
GATD3A	GATD3A	"glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial"	31:37921649-37930772	8209	GATD3
TPK1	TPK1	thiamin pyrophosphokinase 1	16:4981542-5307335	27010	TPK1
XRCC4	XRCC4	DNA repair protein XRCC4	3:24431265-24663456	7518	XRCC4
AUH	AUH	"methylglutaconyl-CoA hydratase, mitochondrial"	1:96260104-96419890	549	AUH
CACNA1B	CACNA1B	voltage-dependent N-type calcium channel subunit alpha-1B	9:47799821-47993105	2/12/02 0:00	CACNA1B
ORC3	ORC3	origin recognition complex subunit 3	12:47261944-47323195	23595	ORC3
OXA1L	OXA1L	mitochondrial inner membrane protein OXA1L	8:3231605-3255317	5018	OXA1L
PPIH	PPIH	peptidyl-prolyl cis-trans isomerase H	15:738714-757011	10465	PPIH
TMEM185A	TMEM185A	transmembrane protein 185A	X:119181222-119217005	84548	TMEM185A
CSNK2A1	CSNK2A1	casein kinase II subunit alpha	24:20835744-20895178	1457	CSNK2A1
DBI	DBI	"diazepam binding inhibitor, acyl-CoA binding protein"	19:32064483-32069735	1622	DBI
DHX8	DHX8	ATP-dependent RNA helicase DHX8	9:19610014-19642387	1659	DHX8
ERAL1	ERAL1	"GTPase Era, mitochondrial"	9:42997951-43002656	26284	ERAL1
KCMF1	KCMF1	E3 ubiquitin-protein ligase KCMF1	17:40264531-40346077	56888	KCMF1
ILVBL	ILVBL	2-hydroxyacyl-CoA lyase 2	20:47427211-47436661	10994	ILVBL
LOC475405	LOC475405	KRR1 small subunit processome component homolog	15:18819551-18830949	<none>	<none>
TRMO	TRMO	tRNA (adenine(37)-N6)-methyltransferase	11:55521029-55538165	51531	TRMO
C5H1orf159	C5H1orf159	uncharacterized protein C1orf159 homolog	5:56768893-56806034	54991	C1orf159
PIGU	PIGU	phosphatidylinositol glycan anchor biosynthesis class U protein	24:24186009-24280792	128869	PIGU
IAH1	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog	17:6585532-6596107	285148	IAH1
IVD	IVD	"isovaleryl-CoA dehydrogenase, mitochondrial"	30:7869140-7879708	3712	IVD
ACADM	ACADM	"medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	6:71380006-71410441	34	ACADM
ATXN7L3B	ATXN7L3B	ataxin-7-like protein 3B	10:15734423-15738358	552889	ATXN7L3B
GPALPP1	GPALPP1	GPALPP motifs-containing protein 1	22:5956256-6006241	55425	GPALPP1
PIGL	PIGL	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase	5:39820769-39906365	9487	PIGL
EML4	EML4	echinoderm microtubule-associated protein-like 4	17:33946661-34107545	27436	EML4
JAK1	JAK1	Janus kinase 1	5:45594991-45751867	3716	JAK1
SMDT1	SMDT1	"essential MCU regulator, mitochondrial"	10:24250678-24253844	91689	SMDT1
SMG6	SMG6	telomerase-binding protein EST1A	9:46110273-46353691	23293	SMG6
UBL3	UBL3	ubiquitin-like protein 3	25:10157090-10226057	5412	UBL3
CCDC137	CCDC137	coiled-coil domain-containing protein 137	9:1341630-1346755	339230	CCDC137
LOC102151514	LOC102151514	"uncharacterized LOC102151514, transcript variant X4"	19:32969416-33159609	<none>	<none>
MICAL1	MICAL1	F-actin-monooxygenase MICAL1	12:66704165-66713547	64780	MICAL1
XPC	XPC	DNA repair protein complementing XP-C cells	20:4327193-4356396	7508	XPC
ANKFY1	ANKFY1	rabankyrin-5	5:30444643-30526954	51479	ANKFY1
ATP13A1	ATP13A1	manganese-transporting ATPase 13A1	20:44027140-44043565	57130	ATP13A1
LOC119873908	LOC119873908	uncharacterized LOC119873908	11:27732587-27745265	<none>	<none>
RPL26L1	RPL26L1	60S ribosomal protein L26-like 1	4:40305306-40314073	51121	RPL26L1
TRAM1	TRAM1	translocation associated membrane protein 1	29:20151950-20186017	23471	TRAM1
LOC119877472	LOC119877472	transmembrane protein 74B	24:20305571-20311841	<none>	<none>
MARS1	MARS1	"methionine--tRNA ligase, cytoplasmic"	10:1942478-1960709	4141	MARS1
RELA	RELA	transcription factor p65	18:52051615-52060481	5970	RELA
SYTL1	SYTL1	synaptotagmin-like protein 1	2:72311632-72320532	84958	SYTL1
TAOK1	TAOK1	serine/threonine-protein kinase TAO1	9:43473077-43631426	57551	TAOK1
ANKRD17	ANKRD17	ankyrin repeat domain-containing protein 17	13:62952491-63106314	26057	ANKRD17
HGH1	HGH1	protein HGH1 homolog	13:38374910-38377834	51236	HGH1
HSPA9	HSPA9	"stress-70 protein, mitochondrial"	11:26171421-26192815	3313	HSPA9
MAPK1IP1L	MAPK1IP1L	MAPK-interacting and spindle-stabilizing protein-like	8:31206462-31222873	93487	MAPK1IP1L
VCPIP1	VCPIP1	deubiquitinating protein VCPIP1	29:16672097-16703810	80124	VCPIP1
BRD9	BRD9	bromodomain-containing protein 9	34:11682516-11711639	65980	BRD9
COG3	COG3	conserved oligomeric Golgi complex subunit 3	22:5515109-5582851	83548	COG3
CSNK1G2	CSNK1G2	casein kinase I	20:57485156-57511202	1455	CSNK1G2
ELAC1	ELAC1	zinc phosphodiesterase ELAC protein 1	1:24042523-24082686	55520	ELAC1
KDM5C	KDM5C	lysine demethylase 5C	X:45282205-45312192	8242	KDM5C
RRNAD1	RRNAD1	protein RRNAD1	7:41233824-41240247	51093	METTL25B
CIAO3	CIAO3	cytosolic iron-sulfur assembly component 3	6:40317618-40324787	64428	CIAO3
IDH3B	IDH3B	"isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	24:19009851-19014767	3420	IDH3B
LOC100687412	LOC100687412	uncharacterized gene	22:49796776-49801781	<none>	<none>
LOC119877832	LOC119877832	uncharacterized gene	33:23959931-23962210	<none>	<none>
ASTE1	ASTE1	protein asteroid homolog 1	23:28745248-28756015	28990	ASTE1
NAA60	NAA60	N-alpha-acetyltransferase 60	6:38061211-38086221	79903	NAA60
VRK2	VRK2	serine/threonine-protein kinase VRK2	10:59606236-59821676	7444	VRK2
CLP1	CLP1	polyribonucleotide 5'-hydroxyl-kinase Clp1	18:38997368-39000586	10978	CLP1
MRPL43	MRPL43	"39S ribosomal protein L43, mitochondrial"	28:13861509-13862770	84545	MRPL43
NADSYN1	NADSYN1	glutamine-dependent NAD(+) synthetase	18:47670678-47708646	55191	NADSYN1
ELP4	ELP4	elongator complex protein 4	18:36072284-36314202	26610	ELP4
SLC35A5	SLC35A5	probable UDP-sugar transporter protein SLC35A5	33:17719018-17754993	55032	SLC35A5
LOC477325	LOC477325	proteasome maturation protein	25:11122086-11138893	51371	POMP
MPHOSPH9	MPHOSPH9	M-phase phosphoprotein 9	26:6536954-6608587	10198	MPHOSPH9
PCCB	PCCB	"propionyl-CoA carboxylase beta chain, mitochondrial"	23:33212801-33305014	5096	PCCB
PLA2G6	PLA2G6	85/88 kDa calcium-independent phospholipase A2	10:27499582-27559773	8398	PLA2G6
BAP1	BAP1	ubiquitin carboxyl-terminal hydrolase BAP1	20:37762923-37771723	8314	BAP1
LOC119869906	LOC119869906	small nucleolar RNA SNORD101	1:26060559-26060632	<none>	<none>
LOC611847	LOC611847	DNA polymerase delta subunit 4	18:50605426-50607804	<none>	<none>
ZNHIT2	ZNHIT2	zinc finger HIT domain-containing protein 2	18:52583830-52585132	741	ZNHIT2
COX19	COX19	cytochrome c oxidase assembly protein COX19	6:16046026-16056359	90639	COX19
INO80C	INO80C	INO80 complex subunit C	7:54540279-54557460	125476	INO80C
ZFP1	ZFP1	zinc finger protein 1 homolog	5:76117069-76143961	162239	ZFP1
ARIH1	ARIH1	E3 ubiquitin-protein ligase ARIH1	30:36367971-36492251	25820	ARIH1
PLPBP	PLPBP	pyridoxal phosphate homeostasis protein	16:28336475-28355332	11212	PLPBP
RPUSD1	RPUSD1	RNA pseudouridylate synthase domain-containing protein 1	6:40286259-40288984	113000	RPUSD1
SH2D4A	SH2D4A	SH2 domain-containing protein 4A	16:22875425-22946531	63898	SH2D4A
TARS2	TARS2	"threonine--tRNA ligase, mitochondrial"	17:60339288-60353149	80222	TARS2
CRNKL1	CRNKL1	crooked neck-like protein 1	24:3679794-3695883	51340	CRNKL1
PSMA4	PSMA4	proteasome subunit alpha type-4	13:39136916-39143645	5685	PSMA4
SNAP47	SNAP47	synaptosomal-associated protein 47	14:741820-787672	116841	SNAP47
TOMM5	TOMM5	mitochondrial import receptor subunit TOM5 homolog	11:54229520-54234716	401505	TOMM5
TRAPPC12	TRAPPC12	trafficking protein particle complex subunit 12	17:1990618-2074262	51112	TRAPPC12
CLASP2	CLASP2	CLIP-associating protein 2	23:3441174-3619026	23122	CLASP2
DNAJC19	DNAJC19	mitochondrial import inner membrane translocase subunit TIM14	34:14373244-14378316	131118	DNAJC19
DPAGT1	DPAGT1	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	5:14786006-14791077	1798	DPAGT1
LOC102151615	LOC102151615	"uncharacterized LOC102151615, transcript variant X3"	1:52317111-52333582	<none>	<none>
LOC119876825	LOC119876825	uncharacterized LOC119876825	11:74234508-74238720	<none>	<none>
LOC608513	LOC608513	uncharacterized protein LOC608513	8:13928723-14006565	<none>	<none>
CD302	CD302	lymphocyte antigen 75	36:5759616-5952108	100526664	LY75-CD302
EIF3B	EIF3B	eukaryotic translation initiation factor 3 subunit B	6:14924356-14946923	8662	EIF3B
MMS19	MMS19	MMS19 nucleotide excision repair protein homolog	28:10933424-10967957	64210	MMS19
TUBE1	TUBE1	tubulin epsilon chain	12:68905013-68920199	51175	TUBE1
CENPC	CENPC	centromere protein C	13:58850883-58929219	1060	CENPC
FOXRED1	FOXRED1	FAD-dependent oxidoreductase domain-containing protein 1	5:8272899-8280455	55572	FOXRED1
GPS2	GPS2	G protein pathway suppressor 2	5:32479500-32482218	2874	GPS2
INTS13	INTS13	integrator complex subunit 13	27:25817461-25845099	55726	INTS13
METTL8	METTL8	mRNA N(3)-methylcytidine methyltransferase METTL8	36:16127954-16217507	79828	METTL8
POLR1E	POLR1E	DNA-directed RNA polymerase I subunit RPA49	11:54126950-54142325	64425	POLR1E
PRRC2C	PRRC2C	protein PRRC2C	7:27302149-27404107	23215	PRRC2C
EIF3I	EIF3I	eukaryotic translation initiation factor 3 subunit I	2:68375747-68384562	8668	EIF3I
QTRT1	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1	20:50888209-50896703	81890	QTRT1
THAP1	THAP1	THAP domain-containing protein 1	16:23675416-23687716	55145	THAP1
TRIAP1	TRIAP1	TP53-regulated inhibitor of apoptosis 1	26:16695987-16698578	51499	TRIAP1
COPS3	COPS3	COP9 signalosome complex subunit 3	5:42358201-42384316	8533	COPS3
DICER1	DICER1	endoribonuclease Dicer	8:64295524-64368151	23405	DICER1
DPP8	DPP8	dipeptidyl peptidase 8	30:30211478-30292507	54878	DPP8
ENOPH1	ENOPH1	enolase-phosphatase E1	32:33551815-33593875	58478	ENOPH1
HSPE1	HSPE1	MOB-like protein phocein	37:6899891-6942950	<none>	<none>
INO80B	INO80B	INO80 complex subunit B	17:49174838-49177700	83444	INO80B
MIDEAS	MIDEAS	mitotic deacetylase-associated SANT domain protein	8:47280774-47350979	91748	MIDEAS
NOP10	NOP10	H/ACA ribonucleoprotein complex subunit 3	30:1037812-1038620	55505	NOP10
UBL4A	UBL4A	ubiquitin-like protein 4A	X:123383001-123384080	8266	UBL4A
ZNF326	ZNF326	DBIRD complex subunit ZNF326	6:59115669-59153389	284695	ZNF326
CDIN1	CDIN1	CDAN1-interacting nuclease 1	30:4410703-4638214	84529	CDIN1
HSPA5	HSPA5	endoplasmic reticulum chaperone BiP	9:57936913-57941842	3309	HSPA5
IL17RE	IL17RE	interleukin-17 receptor E	20:8424611-8446250	132014	IL17RE
POLE4	POLE4	DNA polymerase epsilon subunit 4	17:48724719-48756385	56655	POLE4
WDR36	WDR36	WD repeat-containing protein 36	3:1455493-1498428	134430	WDR36
ZBTB22	ZBTB22	zinc finger and BTB domain-containing protein 22	12:2906801-2910480	9278	ZBTB22
BLOC1S5	BLOC1S5	biogenesis of lysosome-related organelles complex 1 subunit 5	35:9161008-9297160	63915	BLOC1S5
PPP1R9B	PPP1R9B	neurabin-2	9:26086858-26102695	84687	PPP1R9B
UPRT	UPRT	uracil phosphoribosyltransferase homolog	X:58686103-58719766	139596	UPRT
ARAF	ARAF	serine/threonine-protein kinase A-Raf	X:41382798-41394286	369	ARAF
CDK12	CDK12	cyclin-dependent kinase 12	9:22852113-22931564	51755	CDK12
NEK8	NEK8	serine/threonine-protein kinase Nek8	9:42895059-42904934	284086	NEK8
SF3B6	SF3B6	splicing factor 3B subunit 6	17:18609656-18620388	51639	SF3B6
CBX8	CBX8	chromobox protein homolog 8	9:2705246-2707892	57332	CBX8
GTF2F1	GTF2F1	general transcription factor IIF subunit 1	20:54169704-54179458	2962	GTF2F1
LOC119877402	LOC119877402	uncharacterized LOC119877402	22:3024647-3028731	<none>	<none>
PCBD1	PCBD1	pterin-4-alpha-carbinolamine dehydratase	4:22451020-22455453	5092	PCBD1
AKAP13	AKAP13	A-kinase anchor protein 13	3:49485435-49806458	11214	AKAP13
CDK7	CDK7	cyclin-dependent kinase 7	2:53550125-53613994	1022	CDK7
CORO1B	CORO1B	coronin-1B	18:50530844-50536059	57175	CORO1B
GNA13	GNA13	guanine nucleotide-binding protein subunit alpha-13	9:11953491-11994293	10672	GNA13
ZNF584	ZNF584	zinc finger protein 584	1:100259437-100281623	201514	ZNF584
DUSP11	DUSP11	RNA/RNP complex-1-interacting phosphatase	17:49750268-49766716	8446	DUSP11
LOC119866747	LOC119866747	"uncharacterized LOC119866747, transcript variant X3"	29:40189975-40198821	<none>	<none>
JMJD8	JMJD8	jmjC domain-containing protein 8	6:40362346-40365117	339123	JMJD8
KRIT1	KRIT1	krev interaction trapped protein 1	14:17789641-17825471	889	KRIT1
MAN2A1	MAN2A1	alpha-mannosidase 2	3:2343807-2505303	4124	MAN2A1
NOP14	NOP14	nucleolar protein 14	3:61862425-61882036	8602	NOP14
ERCC5	ERCC5	DNA repair protein complementing XP-G cells	22:52496357-52530203	2073	ERCC5
SEC14L1	SEC14L1	SEC14-like protein 1	9:4587564-4644483	6397	SEC14L1
SENP5	SENP5	sentrin-specific protease 5	33:30577218-30635973	205564	SENP5
RABL3	RABL3	rab-like protein 3	33:24759120-24796702	285282	RABL3
RDH5	RDH5	retinol dehydrogenase 5	10:472362-477524	5959	RDH5
XPO4	XPO4	exportin-4	25:17308636-17431159	64328	XPO4
GAR1	GAR1	H/ACA ribonucleoprotein complex subunit 1	32:9886399-9904243	54433	GAR1
KATNBL1	KATNBL1	KATNB1-like protein 1	30:1136285-1195924	79768	KATNBL1
RAB35	RAB35	ras-related protein Rab-35	26:16408625-16425638	11021	RAB35
LOC102154557	LOC102154557	uncharacterized LOC102154557	10:24791509-24796508	<none>	<none>
UTP25	UTP25	digestive organ expansion factor homolog	7:8242865-8266776	27042	UTP25
GOPC	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein	1:58343632-58383890	57120	GOPC
MRPS21	MRPS21	"28S ribosomal protein S21, mitochondrial"	17:60192399-60201063	54460	MRPS21
RUNDC1	RUNDC1	RUN domain-containing protein 1	9:19943369-19952892	146923	RUNDC1
WDR43	WDR43	WD repeat-containing protein 43	17:22799918-22844094	23160	WDR43
LOC111095279	LOC111095279	"uncharacterized LOC111095279, transcript variant X17"	3:70528783-70534500	<none>	<none>
SIK1	SIK1	serine/threonine-protein kinase SIK1	31:37344622-37356464	150094	SIK1
TMBIM6	TMBIM6	transmembrane BAX inhibitor motif containing 6	27:41707565-41730952	7009	TMBIM6
DDX19B	DDX19B	ATP-dependent RNA helicase DDX19B	5:76888426-76910065	11269	DDX19B
LCMT1	LCMT1	leucine carboxyl methyltransferase 1	6:21267162-21308117	51451	LCMT1
RNF135	RNF135	E3 ubiquitin-protein ligase RNF135	9:40766155-40780640	84282	RNF135
USP3	USP3	ubiquitin carboxyl-terminal hydrolase 3	30:28485422-28596600	9960	USP3
AAAS	AAAS	aladin	27:44749806-44760823	8086	AAAS
MRPL39	MRPL39	"39S ribosomal protein L39, mitochondrial"	31:21638587-21660585	54148	MRPL39
SLC25A5	SLC25A5	ADP/ATP translocase 2	X:92203556-92206409	292	SLC25A5
TAF6	TAF6	transcription initiation factor TFIID subunit 6	6:9421342-9434833	6878	TAF6
GPATCH2L	GPATCH2L	G patch domain-containing protein 2-like	8:49415932-49471712	55668	GPATCH2L
NSMCE1	NSMCE1	non-structural maintenance of chromosomes element 1 homolog	6:19531210-19563649	197370	NSMCE1
RNF187	RNF187	E3 ubiquitin-protein ligase RNF187	14:239480-243167	149603	RNF187
SPCS2	SPCS2	signal peptidase complex subunit 2	21:23600033-23624931	9789	SPCS2
ABHD17B	ABHD17B	alpha/beta hydrolase domain-containing protein 17B	1:86482389-86536573	51104	ABHD17B
C1H9orf64	C1H9orf64	queuosine salvage protein	1:76107462-76119721	84267	QNG1
EIF3L	EIF3L	eukaryotic translation initiation factor 3 subunit L	10:27758191-27785460	51386	EIF3L
DNAJC11	DNAJC11	dnaJ homolog subfamily C member 11	5:60934199-61010060	55735	DNAJC11
GPD2	GPD2	"glycerol-3-phosphate dehydrogenase, mitochondrial"	36:2860213-3000818	2820	GPD2
MYG1	MYG1	MYG1 exonuclease	27:44744034-44749620	60314	MYG1
NCK1	NCK1	cytoplasmic protein NCK1	23:33819866-33896593	4690	NCK1
NDUFAB1	NDUFAB1	"acyl carrier protein, mitochondrial"	6:22487392-22498037	4706	NDUFAB1
TRIM33	TRIM33	E3 ubiquitin-protein ligase TRIM33	17:52643538-52756887	51592	TRIM33
UBN2	UBN2	ubinuclein-2	16:9208600-9295741	254048	UBN2
ZNF330	ZNF330	zinc finger protein 330	19:2449431-2471426	27309	ZNF330
HPS6	HPS6	Hermansky-Pudlak syndrome 6 protein	28:14802944-14805688	79803	HPS6
IREB2	IREB2	iron-responsive element-binding protein 2	13:39165328-39207352	3658	IREB2
LOC119878427	LOC119878427	vacuolar fusion protein CCZ1 homolog	0:28543-59389	<none>	<none>
BRK1	BRK1	protein BRICK1	20:8290766-8301757	55845	BRK1
GFOD1	GFOD1	glucose-fructose oxidoreductase domain-containing protein 1	35:14114357-14228153	54438	GFOD1
MAPK7	MAPK7	mitogen-activated protein kinase 7	5:41046762-41051802	5598	MAPK7
NOC3L	NOC3L	nucleolar complex protein 3 homolog	28:8666416-8702358	64318	NOC3L
PEX16	PEX16	peroxisomal biogenesis factor 16	18:43931997-43939145	9409	PEX16
CSNK2B	CSNK2B	casein kinase II subunit beta	12:1288118-1293071	1460	CSNK2B
EIF2B5	EIF2B5	translation initiation factor eIF-2B subunit epsilon	34:17209816-17219064	8893	EIF2B5
FANCC	FANCC	Fanconi anemia group C protein	1:71975513-72265108	2176	FANCC
CRKL	CRKL	crk-like protein	26:30708885-30749836	1399	CRKL
EIF1AD	EIF1AD	probable RNA-binding protein EIF1AD	18:51773608-51778523	84285	EIF1AD
