gene_id	symbol	description	biotype	locus	human_gene_id	human_gene_name
ENSFCAG00000012338	SPATA20	spermatogenesis associated 20 [Source:NCBI gene;Acc:101090155]	protein_coding	E1:37139389-37147043	ENSG00000006282	SPATA20
ENSFCAG00000028270	PABPC4L	poly(A) binding protein cytoplasmic 4 like [Source:NCBI gene;Acc:101080709]	protein_coding	B1:93566246-93567358	ENSG00000254535	PABPC4L
ENSFCAG00000001845	GAS7	growth arrest specific 7 [Source:NCBI gene;Acc:101084661]	protein_coding	E1:4343858-4558446	ENSG00000007237	GAS7
ENSFCAG00000003454	FAAH	fatty acid amide hydrolase [Source:NCBI gene;Acc:101095511]	protein_coding	C1:37094428-37114111	ENSG00000117480	FAAH
ENSFCAG00000007582	SIGIRR	single Ig and TIR domain containing [Source:NCBI gene;Acc:101100416]	protein_coding	D1:117138283-117142349	ENSG00000185187	SIGIRR
ENSFCAG00000013996	RAPGEF3	Rap guanine nucleotide exchange factor 3 [Source:NCBI gene;Acc:101085387]	protein_coding	B4:76642837-76664795	ENSG00000079337	RAPGEF3
ENSFCAG00000010050	SNAP25	synaptosome associated protein 25 [Source:NCBI gene;Acc:101092511]	protein_coding	A3:36376474-36452942	ENSG00000132639	SNAP25
ENSFCAG00000004322	TENM4	teneurin transmembrane protein 4 [Source:NCBI gene;Acc:101085744]	protein_coding	D1:55215497-55727329	ENSG00000149256	TENM4
ENSFCAG00000012582	SPEM2	SPEM family member 2 [Source:NCBI gene;Acc:101098018]	protein_coding	E1:2347853-2349721	ENSG00000184560	SPEM2
ENSFCAG00000014874	SETD9	SET domain containing 9 [Source:NCBI gene;Acc:101090838]	protein_coding	A1:127420192-127438395	ENSG00000155542	SETD9
ENSFCAG00000004840	ADAMTSL1	ADAMTS like 1 [Source:NCBI gene;Acc:101082271]	protein_coding	D4:45276016-45655987	ENSG00000178031	ADAMTSL1
ENSFCAG00000007596	GKN1	gastrokine 1 [Source:NCBI gene;Acc:101093430]	protein_coding	A3:88586000-88591379	ENSG00000169605	GKN1
ENSFCAG00000024707	SHLD2	shieldin complex subunit 2 [Source:NCBI gene;Acc:101090295]	protein_coding	D2:47322283-47358259	ENSG00000122376	SHLD2
ENSFCAG00000013349	TICRR	TOPBP1 interacting checkpoint and replication regulator [Source:NCBI gene;Acc:101090870]	protein_coding	B3:6247052-6294039	ENSG00000140534	TICRR
ENSFCAG00000007901	LONRF3	LON peptidase N-terminal domain and ring finger 3 [Source:NCBI gene;Acc:101091852]	protein_coding	X:99659496-99694744	ENSG00000175556	LONRF3
ENSFCAG00000004642	CCNA1	cyclin A1 [Source:NCBI gene;Acc:101085426]	protein_coding	A1:15298360-15308102	ENSG00000133101	CCNA1
ENSFCAG00000001956	CCNF	cyclin F [Source:NCBI gene;Acc:101080933]	protein_coding	E3:42556785-42576530	ENSG00000162063	CCNF
ENSFCAG00000023396	ZCCHC4	zinc finger CCHC-type containing 4 [Source:NCBI gene;Acc:101080533]	protein_coding	B1:187514263-187566769	ENSG00000168228	ZCCHC4
ENSFCAG00000025513	AATK	apoptosis associated tyrosine kinase [Source:NCBI gene;Acc:101095933]	protein_coding	E1:61688371-61719758	ENSG00000181409	AATK
ENSFCAG00000009744	MAD2L1BP	MAD2L1 binding protein [Source:NCBI gene;Acc:101089189]	protein_coding	B2:44380720-44389573	ENSG00000124688	MAD2L1BP
ENSFCAG00000008400	TMPRSS6	transmembrane serine protease 6 [Source:NCBI gene;Acc:101092375]	protein_coding	B4:133317091-133360388	ENSG00000187045	TMPRSS6
ENSFCAG00000029018			protein_coding	D2:49911072-49988040	ENSG00000172671	ZFAND4
ENSFCAG00000007147	WDR54	WD repeat domain 54 [Source:NCBI gene;Acc:101085114]	protein_coding	A3:93123975-93127656	ENSG00000005448	WDR54
ENSFCAG00000014426	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:NCBI gene;Acc:101093351]	protein_coding	B1:51260364-51291395	ENSG00000171320	ESCO2
ENSFCAG00000000170			protein_coding	D4:76424878-76444007	<none>	<none>
ENSFCAG00000044418	HS3ST3B1	heparan sulfate glucosamine 3-O-sulfotransferase 3B1 [Source:NCBI gene;Acc:101091978]	protein_coding	E1:8135312-8176107	ENSG00000125430	HS3ST3B1
ENSFCAG00000014812	PCBP3	poly(rC) binding protein 3 [Source:NCBI gene;Acc:101081659]	protein_coding	C2:897841-965522	ENSG00000183570	PCBP3
ENSFCAG00000015762	COLEC12	collectin subfamily member 12 [Source:NCBI gene;Acc:101094054]	protein_coding	D3:45556049-45750801	ENSG00000158270	COLEC12
ENSFCAG00000009538	TRIP13	thyroid hormone receptor interactor 13 [Source:NCBI gene;Acc:101081706]	protein_coding	A1:241563305-241580685	ENSG00000071539	TRIP13
ENSFCAG00000032656	HOXC6	homeobox C6 [Source:NCBI gene;Acc:101090529]	protein_coding	B4:82360006-82364806	ENSG00000197757	HOXC6
ENSFCAG00000032725			protein_coding	B1:182280466-182280741	<none>	<none>
ENSFCAG00000031452	IGIP	IgA inducing protein [Source:NCBI gene;Acc:101092824]	protein_coding	A1:118439476-118439634	ENSG00000182700	IGIP
ENSFCAG00000029875	RERG	RAS like estrogen regulated growth inhibitor [Source:NCBI gene;Acc:101097741]	protein_coding	B4:50851900-50986946	ENSG00000134533	RERG
ENSFCAG00000006032	FABP5	fatty acid binding protein 5 [Source:NCBI gene;Acc:101086698]	protein_coding	F2:31876352-31954984	ENSG00000164687	FABP5
ENSFCAG00000007746	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:NCBI gene;Acc:101091492]	protein_coding	E3:22025362-22041424	ENSG00000196296	ATP2A1
ENSFCAG00000001747	MAPK13	mitogen-activated protein kinase 13 [Source:NCBI gene;Acc:101091536]	protein_coding	B2:37476689-37485252	ENSG00000156711	MAPK13
ENSFCAG00000007213	SERPINI1	serpin family I member 1 [Source:NCBI gene;Acc:101090383]	protein_coding	C2:100269411-100340789	ENSG00000163536	SERPINI1
ENSFCAG00000004771	L3MBTL1	L3MBTL1, histone methyl-lysine binding protein [Source:NCBI gene;Acc:101091436]	protein_coding	A3:17132114-17154041	ENSG00000185513	L3MBTL1
ENSFCAG00000032832	HOXC5	homeobox C5 [Source:NCBI gene;Acc:101090952]	protein_coding	B4:82365784-82373358	ENSG00000172789	HOXC5
ENSFCAG00000012989	THSD7A	thrombospondin type 1 domain containing 7A [Source:NCBI gene;Acc:101100458]	protein_coding	A2:106266938-106692655	ENSG00000005108	THSD7A
ENSFCAG00000039944	ARHGAP22	Rho GTPase activating protein 22 [Source:NCBI gene;Acc:101095047]	protein_coding	D2:48393298-48566734	ENSG00000128805	ARHGAP22
ENSFCAG00000015714	TNNC1	troponin C1, slow skeletal and cardiac type [Source:NCBI gene;Acc:101082986]	protein_coding	A2:21044572-21047644	ENSG00000114854	TNNC1
ENSFCAG00000013558	PTER	phosphotriesterase related [Source:NCBI gene;Acc:101090777]	protein_coding	B4:15444803-15507595	ENSG00000165983	PTER
ENSFCAG00000000362	UNC79	unc-79 homolog, NALCN channel complex subunit [Source:NCBI gene;Acc:101100221]	protein_coding	B3:138752200-139018890	ENSG00000133958	UNC79
ENSFCAG00000035756			protein_coding	D3:60181623-60228605	<none>	<none>
ENSFCAG00000007824	CEP128	centrosomal protein 128 [Source:NCBI gene;Acc:101089700]	protein_coding	B3:127269606-127690653	ENSG00000100629	CEP128
ENSFCAG00000039277	CCSER1	coiled-coil serine rich protein 1 [Source:NCBI gene;Acc:101097479]	protein_coding	B1:131709096-132863455	ENSG00000184305	CCSER1
ENSFCAG00000044895	FGFBP3	fibroblast growth factor binding protein 3 [Source:NCBI gene;Acc:111557110]	protein_coding	D2:54289663-54290445	ENSG00000174721	FGFBP3
ENSFCAG00000029015	KMT5C	lysine methyltransferase 5C [Source:NCBI gene;Acc:101091322]	protein_coding	E2:3306486-3311740	ENSG00000133247	KMT5C
ENSFCAG00000015488	ACTR5	ARP5 actin related protein 5 homolog [Source:NCBI gene;Acc:101094169]	protein_coding	A3:21289333-21318678	ENSG00000101442	ACTR5
ENSFCAG00000015172	TNFAIP8L1	TNF alpha induced protein 8 like 1 [Source:NCBI gene;Acc:101090843]	protein_coding	A2:3517793-3518353	ENSG00000185361	TNFAIP8L1
ENSFCAG00000041343			protein_coding	A1:116837764-116840443	<none>	<none>
ENSFCAG00000013194	ATG16L2	autophagy related 16 like 2 [Source:NCBI gene;Acc:101083109]	protein_coding	D1:61050117-61064663	ENSG00000168010	ATG16L2
ENSFCAG00000029312	PRIM2	DNA primase subunit 2 [Source:NCBI gene;Acc:101098711]	protein_coding	B2:57381883-57726147	ENSG00000146143	PRIM2
ENSFCAG00000042378	TTC9	tetratricopeptide repeat domain 9 [Source:NCBI gene;Acc:101084459]	protein_coding	B3:118419144-118452292	ENSG00000133985	TTC9
ENSFCAG00000009295		carbonyl reductase [NADPH] 1-like [Source:NCBI gene;Acc:102901316]	protein_coding	C2:9415690-9494163	ENSG00000159228	CBR1
ENSFCAG00000004521			protein_coding	B2:32937908-32941975	ENSG00000204344	STK19
ENSFCAG00000043571	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	protein_coding	D1:84257819-84314300	ENSG00000176697	BDNF
ENSFCAG00000040603		zinc finger protein 177 [Source:NCBI gene;Acc:101086373]	protein_coding	A2:7241021-7244769	ENSG00000188629	ZNF177
ENSFCAG00000005533	PBX1	PBX homeobox 1 [Source:NCBI gene;Acc:101081781]	protein_coding	F1:63013004-63244679	ENSG00000185630	PBX1
ENSFCAG00000001244	FBXL15	F-box and leucine rich repeat protein 15 [Source:NCBI gene;Acc:101081084]	protein_coding	D2:62867257-62870250	ENSG00000107872	FBXL15
ENSFCAG00000011627	TP73	tumor protein p73 [Source:NCBI gene;Acc:101088009]	protein_coding	C1:2095225-2156195	ENSG00000078900	TP73
ENSFCAG00000043727	HAND2	heart and neural crest derivatives expressed 2 [Source:NCBI gene;Acc:101091104]	protein_coding	B1:57125009-57128440	ENSG00000164107	HAND2
ENSFCAG00000003585	FNDC5	fibronectin type III domain containing 5 [Source:NCBI gene;Acc:101083019]	protein_coding	C1:24992825-25000540	ENSG00000160097	FNDC5
ENSFCAG00000011669	PSMC3IP	PSMC3 interacting protein [Source:NCBI gene;Acc:101098417]	protein_coding	E1:43135867-43140899	ENSG00000131470	PSMC3IP
ENSFCAG00000036039	MYL1	myosin light chain 1 [Source:NCBI gene;Acc:101099140]	protein_coding	C1:196289445-196328114	ENSG00000168530	MYL1
ENSFCAG00000011792	TMEM25	transmembrane protein 25 [Source:NCBI gene;Acc:101090545]	protein_coding	D1:16107330-16120938	ENSG00000149582	TMEM25
ENSFCAG00000023758	TMLHE	trimethyllysine hydroxylase, epsilon [Source:NCBI gene;Acc:101094166]	protein_coding	X:130024499-130099342	ENSG00000185973	TMLHE
ENSFCAG00000029879	BAG5	BCL2 associated athanogene 5 [Source:HGNC Symbol;Acc:HGNC:941]	protein_coding	B3:147719730-147722162	ENSG00000166170	BAG5
ENSFCAG00000038945	TMEM241	transmembrane protein 241 [Source:NCBI gene;Acc:101099156]	protein_coding	D3:48038822-48156505	ENSG00000134490	TMEM241
ENSFCAG00000023953	CEP44	centrosomal protein 44 [Source:NCBI gene;Acc:101090608]	protein_coding	B1:56392835-56418681	ENSG00000164118	CEP44
ENSFCAG00000024493	AURKA	aurora kinase A [Source:NCBI gene;Acc:101091184]	protein_coding	A3:6716354-6732278	ENSG00000087586	AURKA
ENSFCAG00000010686	ZNF514	zinc finger protein 514 [Source:NCBI gene;Acc:101089433]	protein_coding	A3:107248901-107253109	ENSG00000144026	ZNF514
ENSFCAG00000013331	KIF27	kinesin family member 27 [Source:NCBI gene;Acc:101099408]	protein_coding	D4:24939282-25036700	ENSG00000165115	KIF27
ENSFCAG00000005747	LLGL2	LLGL2, scribble cell polarity complex component [Source:NCBI gene;Acc:101100607]	protein_coding	E1:57507994-57542726	ENSG00000073350	LLGL2
ENSFCAG00000028262	MYPOP	Myb related transcription factor, partner of profilin [Source:NCBI gene;Acc:101080927]	protein_coding	E2:10966288-10974156	ENSG00000176182	MYPOP
ENSFCAG00000006422	GRM2	glutamate metabotropic receptor 2 [Source:NCBI gene;Acc:101098611]	protein_coding	A2:20443830-20454905	ENSG00000164082	GRM2
ENSFCAG00000039599			protein_coding	B3:95765692-95773728	<none>	<none>
ENSFCAG00000024845	DNAJC24	DnaJ heat shock protein family (Hsp40) member C24 [Source:NCBI gene;Acc:101086253]	protein_coding	D1:87615451-87672160	ENSG00000170946	DNAJC24
ENSFCAG00000015291	ABLIM2	actin binding LIM protein family member 2 [Source:NCBI gene;Acc:101089513]	protein_coding	B1:204639569-204782414	ENSG00000163995	ABLIM2
ENSFCAG00000008323	PTHLH	parathyroid hormone like hormone [Source:NCBI gene;Acc:554222]	protein_coding	B4:63233802-63249582	ENSG00000087494	PTHLH
ENSFCAG00000008947	ARMC3	armadillo repeat containing 3 [Source:NCBI gene;Acc:101096817]	protein_coding	B4:21560470-21661182	ENSG00000165309	ARMC3
ENSFCAG00000041790			pseudogene	E2:50021455-50029115	<none>	<none>
ENSFCAG00000023341	SKA1	spindle and kinetochore associated complex subunit 1 [Source:NCBI gene;Acc:101091818]	protein_coding	D3:72165646-72179897	ENSG00000154839	SKA1
ENSFCAG00000005906	SLC6A4	solute carrier family 6 member 4 [Source:NCBI gene;Acc:101091163]	protein_coding	E1:16686228-16733076	ENSG00000108576	SLC6A4
ENSFCAG00000000593	FAXDC2	fatty acid hydroxylase domain containing 2 [Source:NCBI gene;Acc:101083401]	protein_coding	A1:194984614-195010187	ENSG00000170271	FAXDC2
ENSFCAG00000029750			protein_coding	B1:155001814-155002435	<none>	<none>
ENSFCAG00000046405	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:NCBI gene;Acc:111558223]	protein_coding	E3:43145473-43146561	ENSG00000103024	NME3
ENSFCAG00000025450	MAST4	microtubule associated serine/threonine kinase family member 4 [Source:NCBI gene;Acc:101087553]	protein_coding	A1:136224632-136389483	ENSG00000069020	MAST4
ENSFCAG00000007459	GAB2	GRB2 associated binding protein 2 [Source:NCBI gene;Acc:101101410]	protein_coding	D1:55902831-56094910	ENSG00000033327	GAB2
ENSFCAG00000014877	GPM6B	glycoprotein M6B [Source:NCBI gene;Acc:101089746]	protein_coding	X:10748223-10897595	ENSG00000046653	GPM6B
ENSFCAG00000027275	MMP24	matrix metallopeptidase 24 [Source:NCBI gene;Acc:101087914]	protein_coding	A3:24190229-24234910	ENSG00000125966	MMP24
ENSFCAG00000040617	CNTNAP2	contactin associated protein like 2 [Source:NCBI gene;Acc:101086795]	protein_coding	A2:161247428-163215872	ENSG00000174469	CNTNAP2
ENSFCAG00000003303	RBKS	ribokinase [Source:NCBI gene;Acc:101094338]	protein_coding	A3:120694932-120789138	ENSG00000171174	RBKS
ENSFCAG00000041511		OTU deubiquitinase 1 [Source:NCBI gene;Acc:101085218]	pseudogene	B4:22029766-22031220	<none>	<none>
ENSFCAG00000005235	DHRS13	dehydrogenase/reductase 13 [Source:NCBI gene;Acc:101084583]	protein_coding	E1:17932837-17936868	ENSG00000167536	DHRS13
ENSFCAG00000015268	PARPBP	PARP1 binding protein [Source:NCBI gene;Acc:101081480]	protein_coding	B4:124747899-124813069	ENSG00000185480	PARPBP
ENSFCAG00000026519	TKFC	triokinase and FMN cyclase [Source:NCBI gene;Acc:101081330]	protein_coding	D1:107423988-107436892	ENSG00000149476	TKFC
ENSFCAG00000042380	FRAT2	FRAT2, WNT signaling pathway regulator [Source:NCBI gene;Acc:105261037]	protein_coding	D2:58575028-58575732	ENSG00000181274	FRAT2
ENSFCAG00000044102			protein_coding	D2:56613232-56621491	<none>	<none>
ENSFCAG00000003525	CENPE	centromere protein E [Source:NCBI gene;Acc:101093853]	protein_coding	B1:121297897-121379204	ENSG00000138778	CENPE
ENSFCAG00000007907	ARHGAP27	Rho GTPase activating protein 27 [Source:NCBI gene;Acc:101087538]	protein_coding	E1:45241872-45274204	ENSG00000159314	ARHGAP27
ENSFCAG00000026395	PIGW	phosphatidylinositol glycan anchor biosynthesis class W [Source:NCBI gene;Acc:101084242]	protein_coding	E1:24680706-24682211	ENSG00000277161	PIGW
ENSFCAG00000033516	ZC2HC1B	zinc finger C2HC-type containing 1B [Source:NCBI gene;Acc:101092184]	protein_coding	B2:132560615-132605755	ENSG00000118491	ZC2HC1B
ENSFCAG00000031113	FAM107A	family with sequence similarity 107 member A [Source:NCBI gene;Acc:101101450]	protein_coding	A2:26439033-26494503	ENSG00000168309	FAM107A
ENSFCAG00000005459	RHBDF2	rhomboid 5 homolog 2 [Source:NCBI gene;Acc:101098418]	protein_coding	E1:58276517-58302029	ENSG00000129667	RHBDF2
ENSFCAG00000009277	TPPP3	tubulin polymerization promoting protein family member 3 [Source:NCBI gene;Acc:101100103]	protein_coding	E2:45106504-45110175	ENSG00000159713	TPPP3
ENSFCAG00000030915	ZNF529	zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]	protein_coding	E2:17199884-17210208	ENSG00000186020	ZNF529
ENSFCAG00000043756	DHH	desert hedgehog [Source:NCBI gene;Acc:101095751]	protein_coding	B4:78074094-78078239	ENSG00000139549	DHH
ENSFCAG00000038761	SDCCAG8	serologically defined colon cancer antigen 8 [Source:NCBI gene;Acc:101093072]	protein_coding	F1:8383427-8632780	ENSG00000054282	SDCCAG8
ENSFCAG00000030704	ERI2	ERI1 exoribonuclease family member 2 [Source:NCBI gene;Acc:101082712]	protein_coding	E3:28072006-28079749	ENSG00000196678	ERI2
ENSFCAG00000031694		proline rich transmembrane protein 2 [Source:NCBI gene;Acc:101096627]	protein_coding	E3:21245299-21246911	ENSG00000167371	PRRT2
ENSFCAG00000022946	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2 [Source:NCBI gene;Acc:101086156]	protein_coding	B4:41934004-41935693	ENSG00000111671	SPSB2
ENSFCAG00000039986	RF01975		misc_RNA	A2:120504346-120504471	<none>	<none>
ENSFCAG00000011212	SH3D19	SH3 domain containing 19 [Source:NCBI gene;Acc:101097638]	protein_coding	B1:78441995-78498471	ENSG00000109686	SH3D19
ENSFCAG00000007025	NT5C3A	5'-nucleotidase, cytosolic IIIA [Source:NCBI gene;Acc:101091271]	protein_coding	A2:125613824-125668198	ENSG00000122643	NT5C3A
ENSFCAG00000010798	STAG3	stromal antigen 3 [Source:NCBI gene;Acc:101099169]	protein_coding	E3:7498095-7526813	ENSG00000066923	STAG3
ENSFCAG00000013402	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:NCBI gene;Acc:101096311]	protein_coding	B1:41467142-41696127	ENSG00000147408	CSGALNACT1
ENSFCAG00000044827			protein_coding	A1:109349297-109350187	<none>	<none>
ENSFCAG00000038676	TMEM170B	transmembrane protein 170B [Source:NCBI gene;Acc:101091194]	protein_coding	B2:17507895-17538836	ENSG00000205269	TMEM170B
ENSFCAG00000015490	OSGEPL1	ORM1-like protein 1 [Source:NCBI gene;Acc:101080649]	protein_coding	C1:179323343-179353258	ENSG00000128694	OSGEPL1
ENSFCAG00000043064	ZNF624	zinc finger protein 624 [Source:HGNC Symbol;Acc:HGNC:29254]	protein_coding	E1:9357958-9381165	ENSG00000197566	ZNF624
ENSFCAG00000025003	GIN1	gypsy retrotransposon integrase 1 [Source:NCBI gene;Acc:101084851]	protein_coding	A1:166035070-166059392	ENSG00000145723	GIN1
ENSFCAG00000027646	ROBO2	roundabout guidance receptor 2 [Source:NCBI gene;Acc:101096340]	protein_coding	C2:29529380-31199170	ENSG00000185008	ROBO2
ENSFCAG00000002853	NAP1L2	nucleosome assembly protein 1 like 2 [Source:NCBI gene;Acc:101097625]	protein_coding	X:62149529-62150920	ENSG00000186462	NAP1L2
ENSFCAG00000008368	TMC5	transmembrane channel like 5 [Source:NCBI gene;Acc:101093981]	protein_coding	E3:29368448-29417866	ENSG00000103534	TMC5
ENSFCAG00000028582	ARHGAP24	Rho GTPase activating protein 24 [Source:NCBI gene;Acc:101080454]	protein_coding	B1:136971827-137399674	ENSG00000138639	ARHGAP24
ENSFCAG00000031884	GALM	galactose mutarotase [Source:NCBI gene;Acc:101097231]	protein_coding	A3:111473803-111527447	ENSG00000143891	GALM
ENSFCAG00000002760	CORO6	coronin 6 [Source:NCBI gene;Acc:101091664]	protein_coding	E1:17279549-17289441	ENSG00000167549	CORO6
ENSFCAG00000012099	DGUOK	deoxyguanosine kinase [Source:NCBI gene;Acc:101083164]	protein_coding	A3:92689511-92734432	ENSG00000114956	DGUOK
ENSFCAG00000009991	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein [Source:NCBI gene;Acc:101098570]	protein_coding	C2:71688454-71750024	ENSG00000145016	RUBCN
ENSFCAG00000023041	RNF125	ring finger protein 125 [Source:NCBI gene;Acc:101086183]	protein_coding	D3:55838221-55882286	ENSG00000101695	RNF125
ENSFCAG00000002477	ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:NCBI gene;Acc:101100546]	protein_coding	A2:46181362-46508815	ENSG00000150995	ITPR1
ENSFCAG00000031267	PIGB	phosphatidylinositol glycan anchor biosynthesis class B [Source:NCBI gene;Acc:101090523]	protein_coding	B3:51268584-51313096	ENSG00000069943	PIGB
ENSFCAG00000006500	CORO2B	coronin 2B [Source:NCBI gene;Acc:101099720]	protein_coding	B3:38871829-39006690	ENSG00000103647	CORO2B
ENSFCAG00000011833	DCLRE1A	DNA cross-link repair 1A [Source:NCBI gene;Acc:101096110]	protein_coding	D2:72874422-72898510	ENSG00000198924	DCLRE1A
ENSFCAG00000042949		estradiol 17-beta-dehydrogenase 8 [Source:NCBI gene;Acc:111556166]	protein_coding	B2:34837767-34840038	<none>	<none>
ENSFCAG00000009894	TMCC3	transmembrane and coiled-coil domain family 3 [Source:NCBI gene;Acc:101091031]	protein_coding	B4:118165701-118455456	ENSG00000057704	TMCC3
ENSFCAG00000012089	MOB3B	MOB kinase activator 3B [Source:NCBI gene;Acc:101094300]	protein_coding	D4:52497339-52741617	ENSG00000120162	MOB3B
ENSFCAG00000022114	NYNRIN	NYN domain and retroviral integrase containing [Source:NCBI gene;Acc:101083772]	protein_coding	B3:76871619-76892260	ENSG00000205978	NYNRIN
ENSFCAG00000040667	ZNF853	zinc finger protein 853 [Source:NCBI gene;Acc:105261299]	protein_coding	E3:4828078-4835598	ENSG00000236609	ZNF853
ENSFCAG00000045711	PTGER2	prostaglandin E receptor 2 [Source:NCBI gene;Acc:100169967]	protein_coding	B3:102148215-102162931	ENSG00000125384	PTGER2
ENSFCAG00000009359	OSBPL7	oxysterol binding protein like 7 [Source:NCBI gene;Acc:101086268]	protein_coding	E1:39424249-39441623	ENSG00000006025	OSBPL7
ENSFCAG00000012248	TMEM216	transmembrane protein 216 [Source:NCBI gene;Acc:101081832]	protein_coding	D1:107470667-107475018	ENSG00000187049	TMEM216
ENSFCAG00000008341		matrix metallopeptidase 23B [Source:NCBI gene;Acc:101087564]	pseudogene	C1:603963-606276	<none>	<none>
ENSFCAG00000039381	POLI	DNA polymerase iota [Source:NCBI gene;Acc:101099086]	protein_coding	D3:75566728-75597096	ENSG00000101751	POLI
ENSFCAG00000001015	PALMD	palmdelphin [Source:NCBI gene;Acc:101085561]	protein_coding	C1:85493884-85542821	ENSG00000099260	PALMD
ENSFCAG00000027153	ZNF483	zinc finger protein 483 [Source:NCBI gene;Acc:101100513]	protein_coding	D4:73862728-73871742	ENSG00000173258	ZNF483
ENSFCAG00000037945	RF01295	small Cajal body-specific RNA 7 [Source:NCBI gene;Acc:111556473]	scaRNA	C2:106729170-106729513	<none>	<none>
ENSFCAG00000012542	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:NCBI gene;Acc:102899415]	protein_coding	C1:214477328-214482076	ENSG00000156966	B3GNT7
ENSFCAG00000035716	ZNF782	zinc finger protein 782 [Source:NCBI gene;Acc:101090653]	protein_coding	D4:30936417-31013347	ENSG00000196597	ZNF782
ENSFCAG00000006639		HAUS augmin like complex subunit 4 [Source:NCBI gene;Acc:101091704]	protein_coding	B3:75792208-75799478	ENSG00000092036	HAUS4
ENSFCAG00000008273		sperm associated antigen 5 [Source:NCBI gene;Acc:101098415]	protein_coding	E1:18199182-18219439	ENSG00000076382	SPAG5
ENSFCAG00000010158	PDE1B	phosphodiesterase 1B [Source:NCBI gene;Acc:101094608]	protein_coding	B4:82830047-82857902	ENSG00000123360	PDE1B
ENSFCAG00000004077	CRMP1	collapsin response mediator protein 1 [Source:NCBI gene;Acc:101100051]	protein_coding	B1:202854400-202932146	ENSG00000072832	CRMP1
ENSFCAG00000028633	CCDC112	coiled-coil domain containing 112 [Source:NCBI gene;Acc:101100176]	protein_coding	A1:96030746-96064132	ENSG00000164221	CCDC112
ENSFCAG00000004746	STX1A	syntaxin 1A [Source:NCBI gene;Acc:101097118]	protein_coding	E3:10292130-10310561	ENSG00000106089	STX1A
ENSFCAG00000012567	SCG3	secretogranin III [Source:NCBI gene;Acc:101094424]	protein_coding	B3:54683911-54719111	ENSG00000104112	SCG3
ENSFCAG00000029910	HARBI1	harbinger transposase derived 1 [Source:NCBI gene;Acc:109492132]	protein_coding	D1:100703825-100714304	ENSG00000180423	HARBI1
ENSFCAG00000001520	AMIGO2	adhesion molecule with Ig like domain 2 [Source:NCBI gene;Acc:101084295]	protein_coding	B4:76163553-76165118	ENSG00000139211	AMIGO2
ENSFCAG00000026500	SNTA1	syntrophin alpha 1 [Source:NCBI gene;Acc:101098944]	protein_coding	A3:25835343-25863557	ENSG00000101400	SNTA1
ENSFCAG00000035612		small vasohibin binding protein [Source:NCBI gene;Acc:101094775]	protein_coding	C1:33651707-33658574	<none>	<none>
ENSFCAG00000012294	ZWILCH	zwilch kinetochore protein [Source:NCBI gene;Acc:101080893]	protein_coding	B3:40812897-40849418	ENSG00000174442	ZWILCH
ENSFCAG00000028438	DST	dystonin [Source:NCBI gene;Acc:101098224]	protein_coding	B2:56519558-56891018	ENSG00000151914	DST
ENSFCAG00000005342	CDON	cell adhesion associated, oncogene regulated [Source:NCBI gene;Acc:101087264]	protein_coding	D1:22992586-23080690	ENSG00000064309	CDON
ENSFCAG00000000758	COL4A5	collagen type IV alpha 5 chain [Source:NCBI gene;Acc:101093002]	protein_coding	X:90969864-91208427	ENSG00000188153	COL4A5
ENSFCAG00000029227			pseudogene	E2:3199135-3202446	<none>	<none>
ENSFCAG00000035556	C9orf16	chromosome D4 C9orf16 homolog [Source:NCBI gene;Acc:101098752]	protein_coding	D4:88858826-88862369	ENSG00000171159	C9orf16
ENSFCAG00000002806	POLR2F	RNA polymerase II subunit F [Source:NCBI gene;Acc:111561441]	protein_coding	B4:134030791-134040059	ENSG00000100142	POLR2F
ENSFCAG00000010702	NCAPH	non-SMC condensin I complex subunit H [Source:NCBI gene;Acc:101092843]	protein_coding	A3:107717010-107752469	ENSG00000121152	NCAPH
ENSFCAG00000027869		mitogen-activated protein kinase 8 interacting protein 2 [Source:NCBI gene;Acc:101085733]	pseudogene	B4:144353477-144362170	<none>	<none>
ENSFCAG00000000325	POLD1	DNA polymerase delta 1, catalytic subunit [Source:NCBI gene;Acc:101086519]	protein_coding	E2:7778015-7808779	ENSG00000062822	POLD1
ENSFCAG00000023528	HECTD4	HECT domain E3 ubiquitin protein ligase 4 [Source:NCBI gene;Acc:101084744]	protein_coding	D3:10045696-10239063	ENSG00000173064	HECTD4
ENSFCAG00000008401	SARM1	sterile alpha and TIR motif containing 1 [Source:NCBI gene;Acc:101100519]	protein_coding	E1:18366544-18385852	ENSG00000004139	SARM1
